service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
ASCESC-2-127,1,1,1,1,1,1,1,20230826,20240901
EL_BL-2-24,0,0,0,1,1,0,0,20231023,20240830
EL_BL-2-31,1,1,1,1,1,0,0,20231023,20240830
EL_BL-2-31$EL_JA-2-31$EL_RO-2-31,1,1,1,1,1,0,0,20230904,20240830
EL_JA-2-31,1,1,1,1,1,0,0,20231226,20240824
EL_JA-2-56,0,0,0,1,1,1,0,20231226,20240824
EL_JA-2-63,1,1,1,1,1,1,0,20231226,20240824
EL_MV-2-32,0,0,0,0,0,1,0,20230909,20240831
EL_PS-2-27,1,1,0,1,1,0,0,20230904,20240705
EL_PS-2-31,1,1,1,1,1,0,0,20230904,20240705
EL_PS-2-4,0,0,1,0,0,0,0,20230904,20240705
EL_RO-2-24,0,0,0,1,1,0,0,20230904,20240621
EL_RO-2-27,1,1,0,1,1,0,0,20230904,20240621
EL_RO-2-31,1,1,1,1,1,0,0,20230904,20240621
EL_RO-2-4,0,0,1,0,0,0,0,20230904,20240621
EL_TAD-2-63,1,1,1,1,1,1,0,20220824,20240705
EL_VE-2-127,1,1,1,1,1,1,1,20230910,20240623
FCR_VE-2-127,1,1,1,1,1,1,1,20240121,20240121
FILOR-2-63,1,1,1,1,1,1,0,20220824,20240622
HANGA-2-27,1,1,0,1,1,0,0,20220901,20240705
HANGA-2-31,1,1,1,1,1,0,0,20220901,20240705
HANGA-2-4,0,0,1,0,0,0,0,20220901,20240705
HANGA-2-63,1,1,1,1,1,1,0,20220901,20240705
IN26_J-2-63,1,1,1,1,1,1,0,20230902,20240831
IN26_R-2-31,1,1,1,1,1,0,0,20230828,20240830
IN30_B-2-31,1,1,1,1,1,0,0,20221024,20240308
IN30_J-2-63,1,1,1,1,1,1,0,20240427,20240831
IN30_M-2-32,0,0,0,0,0,1,0,20230902,20240420
IN30_O-2-31,1,1,1,1,1,0,0,20240422,20240705
IN30_O-2-63,1,1,1,1,1,1,0,20240422,20240705
IN30_R-2-31,1,1,1,1,1,0,0,20230828,20240830
IN30_V-2-127,1,1,1,1,1,1,1,20230903,20240901
INT_BL-2-31,1,1,1,1,1,0,0,20231023,20240705
INT_MV-2-32,0,0,0,0,0,1,0,20230909,20240622
INT_RO-2-27,1,1,0,1,1,0,0,20230904,20240621
INT_RO-2-31,1,1,1,1,1,0,0,20230904,20240621
INT_RO-2-4,0,0,1,0,0,0,0,20230904,20240621
INT_VE-2-127,1,1,1,1,1,1,1,20230910,20240623
IST_BL-2-31,1,1,1,1,1,0,0,20231023,20240705
IST_M1-2-32,0,0,0,0,0,1,0,20230909,20240622
IST_M2-2-32,0,0,0,0,0,1,0,20231028,20240511
IST_R1-2-11,1,1,0,1,0,0,0,20230904,20240621
IST_R1-2-27,1,1,0,1,1,0,0,20230904,20240621
IST_R1-2-8,0,0,0,1,0,0,0,20230904,20240621
IST_R2-2-4,0,0,1,0,0,0,0,20230904,20240619
IST_VE-2-127,1,1,1,1,1,1,1,20230910,20240623
NAV_0-2-127$NAV_2-2-127,1,1,1,1,1,1,1,20230826,20240901
NAV_1-2-127$NAV_2-2-127,1,1,1,1,1,1,1,20230826,20240901
NAV_1-2-31,1,1,1,1,1,0,0,20230828,20240830
NAV_2-2-127,1,1,1,1,1,1,1,20230826,20240901
NAV_3-2-63,1,1,1,1,1,1,0,20230915,20240227
T1_R1-2-31,1,1,1,1,1,0,0,20230904,20240507
T1_R2-2-31,1,1,1,1,1,0,0,20230918,20240322
T23_BL-2-31,1,1,1,1,1,0,0,20231023,20240705
T23_MV-2-32,0,0,0,0,0,1,0,20230909,20240622
T23_RO-2-31,1,1,1,1,1,0,0,20230904,20240621
T23_VE-2-127,1,1,1,1,1,1,1,20230910,20240623
TF2_BL-2-31,1,1,1,1,1,0,0,20231030,20240705
TF2_RO-2-31,1,1,1,1,1,0,0,20230904,20240621
