route_id,service_id,trip_id,trip_headsign,direction_id,block_id,wheelchair_accessible,bikes_allowed
92,T23_RO-2-31,0,Mairie - V. Schoelcher N.-D.-DE-BONDEVILLE,1,,,
92,T23_RO-2-31,1,Mairie - V. Schoelcher N.-D.-DE-BONDEVILLE,1,,,
92,T23_RO-2-31,10,Mairie - V. Schoelcher N.-D.-DE-BONDEVILLE,1,,,
92,T23_RO-2-31,100,Mairie - V. Schoelcher N.-D.-DE-BONDEVILLE,1,,,
93,T23_RO-2-31,1000,Monet CANTELEU,1,,,
401,ASCESC-2-127,10000,Ascenseur Place Foch,1,,,
401,ASCESC-2-127,10001,Ascenseur Place Foch,1,,,
401,ASCESC-2-127,10002,Ascenseur Place Foch,1,,,
401,ASCESC-2-127,10003,Ascenseur Place Foch,1,,,
401,ASCESC-2-127,10004,Ascenseur Place Foch,1,,,
401,ASCESC-2-127,10005,Ascenseur Place Foch,1,,,
401,ASCESC-2-127,10006,Ascenseur Place Foch,1,,,
401,ASCESC-2-127,10007,Ascenseur Place Foch,1,,,
401,ASCESC-2-127,10008,Ascenseur Place Foch,1,,,
401,ASCESC-2-127,10009,Ascenseur Place Foch,1,,,
93,T23_RO-2-31,1001,Monet CANTELEU,1,,,
401,ASCESC-2-127,10010,Ascenseur Place Foch,1,,,
401,ASCESC-2-127,10011,Ascenseur Place Foch,1,,,
401,ASCESC-2-127,10012,Ascenseur Place Foch,1,,,
401,ASCESC-2-127,10013,Ascenseur Place Foch,1,,,
401,ASCESC-2-127,10014,Ascenseur Place Foch,1,,,
401,ASCESC-2-127,10015,Ascenseur Place Foch,1,,,
401,ASCESC-2-127,10016,Ascenseur Place Foch,1,,,
401,ASCESC-2-127,10017,Ascenseur Place Foch,1,,,
401,ASCESC-2-127,10018,Ascenseur Place Foch,1,,,
401,ASCESC-2-127,10019,Ascenseur Place Foch,1,,,
93,T23_RO-2-31,1002,Monet CANTELEU,1,,,
401,ASCESC-2-127,10020,Ascenseur Place Foch,1,,,
401,ASCESC-2-127,10021,Ascenseur Place Foch,1,,,
401,ASCESC-2-127,10022,Ascenseur Place Foch,1,,,
401,ASCESC-2-127,10023,Ascenseur Place Foch,1,,,
401,ASCESC-2-127,10024,Ascenseur Place Foch,1,,,
401,ASCESC-2-127,10025,Ascenseur Place Foch,1,,,
401,ASCESC-2-127,10026,Ascenseur Place Foch,1,,,
401,ASCESC-2-127,10027,Ascenseur Place Foch,1,,,
401,ASCESC-2-127,10028,Ascenseur Place Foch,1,,,
401,ASCESC-2-127,10029,Ascenseur Place Foch,1,,,
93,T23_RO-2-31,1003,Monet CANTELEU,1,,,
401,ASCESC-2-127,10030,Ascenseur Place Foch,1,,,
401,ASCESC-2-127,10031,Ascenseur Place Foch,1,,,
401,ASCESC-2-127,10032,Ascenseur Place Foch,1,,,
401,ASCESC-2-127,10033,Ascenseur Place Foch,1,,,
401,ASCESC-2-127,10034,Ascenseur Place Foch,1,,,
401,ASCESC-2-127,10035,Ascenseur Place Foch,1,,,
401,ASCESC-2-127,10036,Ascenseur Place Foch,1,,,
401,ASCESC-2-127,10037,Ascenseur Place Foch,1,,,
