route_id,service_id,trip_id,trip_headsign,direction_id,block_id
945,47205-_94540-LAMJV,4876152,Wattrelos College Saint Joseph,1,
945,47205-_94561-LJV,4876164,Leers Coeur De Ville,0,
945,47205-_94559-A,4876163,Leers Coeur De Ville,0,
945,47206-_94561-LAJV,4876176,Leers Coeur De Ville,0,
236,47862-_2367*-LAJV,4961365,Aubers Eglise,0,
945,47205-_94553-LAJV,4876160,Hem Mesanges,0,
945,47205-_94557-A,4876162,Hem Mesanges,0,
N1,47728-__N102-JV,4946766,Villeneuve D Ascq 4 Cantons Stade,1,
N1,47728-__N108-JV,4946779,Villeneuve D Ascq 4 Cantons Stade,1,
N1,47221-__N151-S,4876723,Villeneuve D Ascq 4 Cantons Stade,1,
N1,47727-__N155-S,4946756,Villeneuve D Ascq 4 Cantons Stade,1,
N1,47727-__N156-S,4946758,Villeneuve D Ascq 4 Cantons Stade,1,
932,47195-_93210-LAMJV,4876090,La Bassee Coll Notre Dame,0,
58,47491-__5806-LAMJV,4896375,Santes Santes Marais,1,
58,47491-__5811-LAMJV,4896382,Santes Santes Marais,1,
58,47491-__5817-LAMJV,4896407,Santes Santes Marais,1,
58,47491-__5818-LAMJV,4896415,Santes Santes Marais,1,
58,47115-__5807-S,4874113,Santes Santes Marais,1,
58,47115-__5808-S,4874118,Santes Santes Marais,1,
58,47115-__5810-S,4874132,Santes Santes Marais,1,
58,47117-__5809-LAMJV,4874198,Santes Santes Marais,1,
58,47117-__5809-LAMJV,4874200,Santes Santes Marais,1,
58,47117-__5810-LAMJV,4874202,Santes Santes Marais,1,
58,47117-__5812-LAMJV,4874208,Santes Santes Marais,1,
58,47117-__5813-LAMJV,4874210,Santes Santes Marais,1,
58,47117-__5813-LAMJV,4874214,Santes Santes Marais,1,
58,47117-__5814-LAMJV,4874215,Santes Santes Marais,1,
58,47116-__5804-D,4874150,Santes Santes Marais,1,
58,47116-__5805-D,4874156,Santes Santes Marais,1,
86,47352-__8610-LAMJV,4887769,Comines Comines Gare,1,
86,47757-__8654-LAMJV,4948223,Comines Comines Gare,1,
86,47757-__8661-LAMJV,4948274,Comines Comines Gare,1,
86,47573-__8655-LAMJV,4905195,Comines Comines Gare,1,
86,47573-__8655-LAMJV,4905199,Comines Comines Gare,1,
86,47573-__8656-LAMJV,4905203,Comines Comines Gare,1,
86,47573-__8652-LAMJV,4905185,Comines Comines Gare,1,
86,47574-__8619-S,4905333,Comines Comines Gare,1,
86,47352-__8616-LAMJV,4887789,Comines Comines Gare,1,
26R,46965-_26R03-LAMJV,4868656,Baisieux Gare,0,
64R,46988-_64R03-D,4868929,La Bassee Gare,0,
64R,46988-_64R08-D,4868934,La Bassee Gare,0,
64R,46987-_64R08-S,4868925,La Bassee Gare,0,
26R,46967-_26R01-D,4868678,Baisieux Gare,0,
236,47862-_23620-LAMJV,4961334,La Bassee Gare,0,
